id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Genre,Gender,BandType
7qiZfU4dY1lWllzX7mPBI,Shape of You,Ed Sheeran,825,652,10,-3183,0,802,581,0,931,931,95977,2337130,40,Pop,Male,Solo
2fQrGHiQOvpL9UgPvtYy6,Bank Account,21 Savage,884,346,80,-8228,0,351,151,0.000704,871,376,75016,2203070,40,Hip-hop/Rap,Male,Solo
1a5Yu5L18qNxVhXx38njO,Hear Me Now,Alok,789,442,110,-7844,10,421,586,366,927,45,121971,1928460,40,Electronic dance music,Male,Solo
5CtI0qwDJkDQGwXD1H1cL,Despacito - Remix,Luis Fonsi,694,815,20,-4328,10,12,229,0,924,813,88931,2288270,40,Pop,Male,Solo
0SGkqnVQo9KPytSri1H6c,Bounce Back,Big Sean,77,567,20,-5698,10,175,105,0,125,26,81477,2223600,40,Hip-hop/Rap,Male,Solo
3E2Zh20GDCR9B1EYjfXWy,Weak,AJR,673,637,50,-4518,10,429,137,0,184,678,12398,2011600,40,Indie,Male,Boy Band
6b8Be6ljOzmkOmFslEb23,24K Magic,Bruno Mars,818,803,10,-4282,10,797,34,0,153,632,10697,2259830,40,R&B ,Male,Solo
4aWmUDTfIPGksMNLV2rQP,Despacito (Featuring Daddy Yankee),Luis Fonsi,66,786,20,-4757,10,17,209,0,112,846,177833,2282000,40,Latin Pop,Male,Solo
0KKkJNfGyhkQ5aFogxQAP,That's What I Like,Bruno Mars,853,56,10,-4961,10,406,13,0,944,86,134066,2066930,40,R&B ,Male,Solo
5hYTyyh2odQKphUbMqc5g,"How Far I'll Go - From ""Moana""",Alessia Cara,314,555,90,-9601,10,37,157,108,67,159,179666,1755170,40,Indie,Female,Solo
5bcTCxgc7xVfSaMV3RuVk,Feels,Calvin Harris,893,745,110,-3105,0,571,642,0,943,872,101018,2234130,40,Electronic dance music,Male,Solo
6RUKPb4LETWmmr3iAEQkt,Something Just Like This,The Chainsmokers,617,635,110,-6769,0,317,498,0.00144,164,446,103019,2471600,40,Electronic dance music,Male,Duo
7tr2za8SQg2CI8EDgrdtN,Slide,Calvin Harris,736,795,10,-3299,0,545,498,0.000121,254,511,104066,2308130,40,Electronic dance music,Male,Solo
4iLqG9SeJSnt0cSPICSjx,Attention,Charlie Puth,774,626,30,-4432,0,432,969,0.00312,848,777,100041,2114750,40,Pop,Male,Solo
3DXncPQOG4VBw3QHh3S81,I'm the One,DJ Khaled,609,668,70,-4284,10,367,552,0,167,811,80924,2886000,40,Hip-hop/Rap,Male,Solo
3kxfsdsCpFgN412fpnW85,Redbone,Childish Gambino,743,359,10,-10401,10,794,199,611,137,587,160083,3269330,40,R&B/Soul,Male,Solo
4pLwZjInHj3SimIyN9SnO,Side To Side,Ariana Grande,648,738,60,-5883,0,247,408,0,292,603,159145,2261600,40,Pop,Female,Solo
22eADXu8DfOAUEDw4vU8q,Ahora Dice,Chris Jeday,708,693,60,-5516,10,138,246,0,129,427,143965,2710800,40,Trap,Male,Solo
7KXjTSCq5nL1LoYtL7XAw,HUMBLE.,Kendrick Lamar,904,611,10,-6842,0,888,259,0.00203,976,4,15002,1770000,40,Hip-hop/Rap,Male,Solo
6De0lHrwBfPfrhorm9q1X,Me RehÃºso,Danny Ocean,744,804,10,-6327,10,677,231,0,494,426,104823,2057150,40,Latin Pop,Male,Solo
3PEgB3fkiojxms35ntsTg,More Than You Know,Axwell /\ Ingrosso,644,743,50,-5002,0,355,34,0,257,544,123074,2030000,40,Electronic dance music,Male,Duo
3A7qX2QjDlPnazUsRk5y0,2U (feat. Justin Bieber),David Guetta,548,65,80,-5827,0,591,219,0,225,557,144937,1948970,40,Electronic dance music,Male,Solo
3eR23VReFzcdmS7TYCrhC,It Ain't Me (with Selena Gomez),Kygo,64,533,0,-6596,10,706,119,0,864,515,99968,2207810,40,Electronic dance music,Male,Solo
1OAh8uOEOvTDqkKFsKksC,Wild Thoughts,DJ Khaled,671,672,0,-3094,0,688,329,0,118,632,9798,2041730,40,Hip-hop/Rap,Male,Solo
3B54sVLJ402zGa6Xm4YGN,Unforgettable,French Montana,726,769,60,-5043,10,123,293,101,104,733,97985,2339020,40,Hip-hop/Rap,Male,Solo
4pdPtRcBmOSQDlJ3Fk945,Let Me Love You,DJ Snake,476,718,80,-5309,10,576,784,0.00102,122,142,199864,2059470,40,Electronic dance music,Male,Solo
343YBumqHu19cGoGARUTs,Fake Love,Drake,927,488,90,-9433,0,42,108,0,196,605,133987,2109370,40,Hip-hop/Rap,Male,Solo
1xznGGDReH1oQq0xzbwXa,One Dance,Drake,791,619,10,-5886,10,532,784,423,351,371,103989,1739870,40,Hip-hop/Rap,Male,Solo
3NdDpSvN911VPGivFlV5d,"I Donâ€™t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,735,451,0,-8374,10,585,631,0.00013,325,862,117973,2452000,40,R&B ,Male,Solo
7hDc8b7IXETo14hHIHdnh,Passionfruit,Drake,809,463,110,-11377,10,396,256,85,109,364,11198,2989410,40,Hip-hop/Rap,Male,Solo
6PCUP3dWmTjcTtXY02oFd,Castle on the Hill,Ed Sheeran,461,834,20,-4868,10,989,232,0.00114,14,471,135007,2611540,40,Pop,Male,Solo
7GX5flRQZVHRAGd6B4TmD,XO TOUR Llif3,Lil Uzi Vert,732,75,110,-6366,0,231,264,0,109,401,155096,1827070,40,Hip-hop/Rap,Male,Solo
0afhq8XCExXpqazXczTSv,Galway Girl,Ed Sheeran,624,876,90,-3374,10,1,735,0,327,781,99943,1708270,40,Pop,Male,Solo
0tgVpDi06FyKpA1z0VMD4,Perfect,Ed Sheeran,599,448,80,-6312,10,232,163,0,106,168,9505,2634000,30,Pop,Male,Solo
72jbDTw1piOOj770jWNea,Paris,The Chainsmokers,653,658,20,-6428,10,304,215,0.000166,939,219,9999,2215070,40,Pop,Male,Duo
0ofbQMrRDsUaVKq2mGLEA,Havana,Camila Cabello,768,517,70,-4323,0,312,186,0.00038,104,418,104992,2168970,40,Latin Pop,Female,Solo
7nKBxz47S9SD79N086fuh,SUBEME LA RADIO,Enrique Iglesias,684,823,90,-3297,0,773,744,0,111,647,91048,2081630,40,Latin Pop,Male,Solo
0dA2Mk56wEzDgegdC6R17,Stay (with Alessia Cara),Zedd,679,634,50,-5024,0,654,232,0,115,498,102013,2100910,40,Dance,Male,Solo
0VgkVdmE4gld66l8iyGjg,Mask Off,Future,833,434,20,-8795,10,431,102,219,165,281,150062,2046000,40,Hip-hop/Rap,Male,Solo
1louJpMmzEicAn7lzDalP,No Promises (feat. Demi Lovato),Cheat Codes,741,667,100,-5445,10,134,575,0,106,595,112956,2235040,40,Pop,Male,Boy Band
5Ohxk2dO5COHF1krpoPig,Sign of the Times,Harry Styles,516,595,50,-463,10,313,275,0,109,222,119972,3407070,40,Pop,Male,Solo
2rb5MvYT7ZIxbKW5hfcHx,Mi Gente,J Balvin,543,677,110,-4915,0,993,148,0.000621,13,294,103809,1894400,40,Reggaeton,Male,Solo
5uCax9HTNlzGybIStD3vD,Say You Won't Let Go,James Arthur,358,557,100,-7398,10,59,695,0,902,494,85043,2114670,40,Pop,Male,Solo
3a1lNhkSLSkpJE4MSHpDu,Congratulations,Post Malone,627,812,60,-4215,10,358,198,0,212,504,123071,2202930,40,Hip-hop/Rap,Male,Solo
6kex4EBAj0WHXDKZMEJaa,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,696,817,10,-3862,10,109,75,0,187,782,98064,2164090,40,Electronic dance music,Male,Solo
00lNx0OcTJrS3MKHcB80H,You Don't Know Me - Radio Edit,Jax Jones,876,669,110,-6054,0,138,163,0,185,682,124007,2139470,40,Electronic dance music,Male,Solo
0NiXXAI876aGImAd6rTj8,Mama,Jonas Blue,746,793,110,-4209,0,412,11,0,528,557,104027,1816150,40,Electronic dance music,Male,Solo
5knuzwU65gJK7IF5yJsua,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,72,763,90,-4068,0,523,406,0,18,742,101965,2510880,40,Electronic dance music,Co-ed Band,Co-ed Band
